query_id,query_text,search_intent,user_id,timestamp,device_type
66,Thriller short drama,Social,user_2839,2024-02-17 22:00:00,Desktop
67,best Thriller content,Navigational,user_4730,2024-01-22 08:00:00,Mobile
68,top rated Horror series,Informational,user_4584,2024-11-04 12:00:00,Mobile
69,top rated Sci-Fi series,Social,user_2295,2024-12-04 18:00:00,Mobile
70,best Comedy content,Informational,user_3357,2025-01-28 03:00:00,Mobile
71,Romance short drama,Entertainment,user_4549,2024-10-02 17:00:00,Mobile
72,top rated Sci-Fi series,Informational,user_1758,2024-07-04 12:00:00,Mobile
73,video short drama,Social,user_2850,2024-11-03 22:00:00,Mobile
74,Comedy short drama,Informational,user_1016,2025-02-01 12:00:00,Desktop
75,top rated Fantasy series,Navigational,user_4593,2025-01-13 15:00:00,Desktop
76,top rated Drama series,Entertainment,user_3747,2024-04-11 03:00:00,Mobile
77,watch Comedy online,Social,user_3914,2024-02-14 10:00:00,Mobile
78,best Action content,Transactional,user_754,2024-03-27 18:00:00,Mobile
79,top rated video series,Social,user_1626,2024-01-18 09:00:00,Mobile
80,top rated Sci-Fi series,Navigational,user_1517,2024-01-18 04:00:00,Mobile
81,best short drama content,Social,user_2809,2025-01-04 11:00:00,Mobile
82,top rated short drama series,Transactional,user_1123,2024-06-18 23:00:00,Mobile
83,watch Romance online,Social,user_3852,2024-05-23 08:00:00,Desktop
84,best Sci-Fi content,Transactional,user_4969,2024-09-03 13:00:00,Tablet
85,top rated Drama series,Informational,user_1366,2024-07-06 04:00:00,Desktop
86,top rated Romance series,Entertainment,user_4172,2024-06-30 16:00:00,Mobile
87,watch Drama online,Navigational,user_144,2024-07-26 12:00:00,Mobile
88,top rated short drama series,Transactional,user_3637,2024-02-18 15:00:00,Desktop
89,Thriller short drama,Navigational,user_2983,2024-09-29 13:00:00,Mobile
90,watch Thriller online,Social,user_4331,2024-11-29 18:00:00,Mobile
91,short drama short drama,Navigational,user_2540,2024-10-21 00:00:00,Mobile
92,Sci-Fi short drama,Social,user_1192,2024-09-20 01:00:00,Mobile
93,content short drama,Navigational,user_1541,2024-09-14 04:00:00,Mobile
94,top rated Comedy series,Social,user_1857,2024-02-26 21:00:00,Desktop
95,best Sci-Fi content,Social,user_1156,2024-05-10 21:00:00,Desktop
96,best Comedy content,Entertainment,user_2215,2024-06-23 10:00:00,Mobile
97,watch Comedy online,Transactional,user_4269,2024-07-16 20:00:00,Mobile
98,top rated video series,Entertainment,user_456,2025-01-13 14:00:00,Desktop
99,watch Romance online,Social,user_4286,2024-01-22 00:00:00,Mobile
100,best Romance content,Informational,user_134,2024-03-28 17:00:00,Mobile
101,top rated Thriller series,Social,user_4299,2024-08-10 20:00:00,Mobile
102,top rated Comedy series,Informational,user_1257,2024-05-20 16:00:00,Desktop
103,best Romance content,Transactional,user_2704,2024-12-26 22:00:00,Mobile
104,top rated video series,Entertainment,user_668,2024-07-05 04:00:00,Mobile
105,Drama short drama,Navigational,user_540,2024-07-25 20:00:00,Tablet
106,content short drama,Informational,user_2509,2024-04-25 19:00:00,Mobile
107,best Comedy content,Navigational,user_256,2024-07-19 04:00:00,Desktop
108,Action short drama,Navigational,user_4973,2024-08-01 12:00:00,Mobile
109,Romance short drama,Informational,user_2194,2024-12-16 15:00:00,Tablet
110,best content content,Navigational,user_4159,2024-06-12 13:00:00,Desktop
111,best Romance content,Informational,user_1634,2024-10-29 18:00:00,Mobile
112,top rated Thriller series,Entertainment,user_2001,2025-02-14 20:00:00,Tablet
113,watch Thriller online,Social,user_3637,2024-07-19 09:00:00,Desktop
114,best Romance content,Informational,user_2049,2024-07-18 04:00:00,Desktop
115,best Romance content,Navigational,user_3420,2024-10-28 15:00:00,Mobile
116,video short drama,Transactional,user_3963,2024-06-30 19:00:00,Desktop
117,Thriller short drama,Transactional,user_1849,2024-09-29 16:00:00,Mobile
118,watch Sci-Fi online,Social,user_3982,2024-07-13 17:00:00,Desktop
119,Sci-Fi short drama,Entertainment,user_1330,2024-09-17 01:00:00,Desktop
120,watch content online,Navigational,user_1332,2024-06-26 13:00:00,Mobile
121,Sci-Fi short drama,Transactional,user_2129,2024-03-31 20:00:00,Desktop
122,top rated video series,Informational,user_2833,2024-05-29 03:00:00,Mobile
123,Thriller short drama,Social,user_4301,2024-09-18 05:00:00,Desktop
124,watch content online,Informational,user_3446,2024-09-08 07:00:00,Desktop
125,top rated Fantasy series,Informational,user_3267,2024-03-19 15:00:00,Mobile
126,best Action content,Navigational,user_3123,2024-11-11 10:00:00,Desktop
127,top rated Action series,Navigational,user_3901,2024-10-05 05:00:00,Mobile
128,best Romance content,Informational,user_524,2024-04-09 17:00:00,Desktop
129,Romance short drama,Navigational,user_2297,2024-09-14 22:00:00,Desktop
130,Fantasy short drama,Transactional,user_2879,2024-06-21 15:00:00,Mobile
131,top rated video series,Informational,user_2056,2024-02-23 04:00:00,Tablet
132,Fantasy short drama,Navigational,user_4124,2024-12-05 14:00:00,Mobile
133,best Action content,Navigational,user_4622,2024-08-01 14:00:00,Desktop
134,Sci-Fi short drama,Transactional,user_1532,2024-12-06 12:00:00,Desktop
135,watch Horror online,Transactional,user_3087,2024-12-05 16:00:00,Desktop
136,watch video online,Informational,user_1297,2024-09-16 13:00:00,Mobile
137,best short drama content,Social,user_3284,2024-09-14 00:00:00,Desktop
138,best Comedy content,Social,user_1170,2024-09-22 11:00:00,Mobile
139,watch Action online,Informational,user_2473,2024-04-24 03:00:00,Desktop
140,watch Action online,Transactional,user_877,2024-06-07 20:00:00,Tablet
141,Thriller short drama,Social,user_1734,2024-03-07 21:00:00,Mobile
142,Drama short drama,Transactional,user_3518,2024-06-04 15:00:00,Desktop
143,watch Sci-Fi online,Transactional,user_2591,2024-02-14 07:00:00,Desktop
144,watch Fantasy online,Navigational,user_468,2024-12-07 11:00:00,Mobile
145,best Horror content,Transactional,user_4290,2024-02-05 06:00:00,Mobile
146,watch video online,Social,user_1142,2025-01-06 11:00:00,Mobile
147,top rated Romance series,Informational,user_4750,2025-02-10 21:00:00,Mobile
148,watch content online,Entertainment,user_2027,2024-06-05 00:00:00,Mobile
149,Fantasy short drama,Social,user_1674,2024-04-02 11:00:00,Mobile
150,Fantasy short drama,Entertainment,user_321,2024-02-25 22:00:00,Desktop
151,best Romance content,Transactional,user_2959,2024-05-25 10:00:00,Mobile
152,best Romance content,Entertainment,user_236,2024-03-20 12:00:00,Desktop
153,short drama short drama,Entertainment,user_1571,2024-04-16 16:00:00,Desktop
154,top rated Horror series,Social,user_3851,2025-01-12 16:00:00,Desktop
155,best Comedy content,Social,user_2899,2024-11-10 10:00:00,Desktop
156,best Drama content,Social,user_1066,2024-03-30 00:00:00,Desktop
157,watch Fantasy online,Transactional,user_4671,2024-04-01 06:00:00,Mobile
158,best Romance content,Navigational,user_1998,2024-06-02 15:00:00,Mobile
159,watch Sci-Fi online,Transactional,user_1203,2024-12-04 23:00:00,Desktop
160,watch Drama online,Social,user_2036,2024-12-27 05:00:00,Desktop
161,best Drama content,Informational,user_1121,2024-02-09 14:00:00,Mobile
162,Drama short drama,Navigational,user_4613,2024-03-18 17:00:00,Mobile
163,best Horror content,Entertainment,user_3229,2024-06-03 23:00:00,Mobile
164,top rated Drama series,Social,user_4226,2024-01-04 22:00:00,Mobile
165,top rated Drama series,Navigational,user_1835,2024-03-29 04:00:00,Desktop
166,top rated video series,Navigational,user_2350,2024-12-22 10:00:00,Mobile
167,Fantasy short drama,Navigational,user_985,2024-11-20 14:00:00,Desktop
168,top rated content series,Entertainment,user_4452,2024-06-10 12:00:00,Desktop
169,best video content,Entertainment,user_3450,2024-09-08 00:00:00,Mobile
170,best Fantasy content,Transactional,user_1793,2024-08-26 20:00:00,Tablet
171,Drama short drama,Informational,user_3073,2024-03-18 06:00:00,Mobile
172,top rated Comedy series,Social,user_3503,2024-10-23 08:00:00,Desktop
173,top rated video series,Informational,user_4213,2024-11-28 02:00:00,Mobile
174,short drama short drama,Transactional,user_386,2024-12-02 06:00:00,Mobile
175,watch Action online,Informational,user_955,2024-07-26 03:00:00,Tablet
176,top rated Horror series,Informational,user_1991,2024-08-08 19:00:00,Mobile
177,best Fantasy content,Informational,user_4381,2024-07-17 05:00:00,Mobile
178,best Action content,Informational,user_967,2024-07-25 00:00:00,Tablet
179,top rated Romance series,Entertainment,user_1725,2024-10-06 08:00:00,Mobile
180,watch Sci-Fi online,Transactional,user_952,2025-01-06 10:00:00,Mobile
181,best Romance content,Social,user_286,2024-10-31 15:00:00,Mobile
182,best Action content,Transactional,user_3058,2024-10-03 21:00:00,Mobile
183,Action short drama,Transactional,user_4927,2024-09-07 16:00:00,Mobile
184,watch Sci-Fi online,Transactional,user_4896,2024-07-22 01:00:00,Mobile
185,top rated Action series,Informational,user_55,2024-11-14 11:00:00,Desktop
186,best Sci-Fi content,Informational,user_4409,2024-09-05 02:00:00,Mobile
187,watch content online,Social,user_328,2024-10-27 21:00:00,Mobile
188,watch Thriller online,Transactional,user_3676,2024-05-07 06:00:00,Desktop
189,top rated Comedy series,Transactional,user_3984,2024-07-08 11:00:00,Tablet
190,best Horror content,Navigational,user_4426,2025-01-08 14:00:00,Desktop
191,watch Thriller online,Social,user_915,2024-02-24 12:00:00,Mobile
192,best Action content,Social,user_3595,2024-07-20 17:00:00,Desktop
193,watch Comedy online,Entertainment,user_1556,2024-02-03 12:00:00,Mobile
194,short drama short drama,Social,user_3578,2024-02-27 19:00:00,Mobile
195,video short drama,Transactional,user_4224,2024-07-20 07:00:00,Mobile
196,best Comedy content,Informational,user_2600,2024-06-17 01:00:00,Desktop
197,best Sci-Fi content,Transactional,user_2542,2024-03-26 11:00:00,Mobile
198,watch Action online,Social,user_75,2024-10-17 21:00:00,Tablet
199,Thriller short drama,Entertainment,user_41,2024-10-26 08:00:00,Mobile
200,Horror short drama,Entertainment,user_1623,2024-12-01 01:00:00,Mobile
201,best content content,Transactional,user_4264,2025-01-01 17:00:00,Desktop
202,best short drama content,Navigational,user_1709,2024-05-03 17:00:00,Mobile
203,video short drama,Navigational,user_3068,2024-09-04 13:00:00,Desktop
204,best Comedy content,Entertainment,user_4890,2024-06-20 20:00:00,Mobile
205,watch Fantasy online,Entertainment,user_1137,2024-12-15 02:00:00,Mobile
206,Comedy short drama,Navigational,user_4151,2024-10-08 22:00:00,Tablet
207,best Horror content,Informational,user_1786,2024-11-17 11:00:00,Mobile
208,watch Comedy online,Entertainment,user_3921,2024-10-22 21:00:00,Tablet
209,content short drama,Informational,user_154,2024-11-13 09:00:00,Mobile
210,top rated short drama series,Informational,user_1241,2024-01-03 12:00:00,Desktop
211,best video content,Transactional,user_4227,2024-02-22 04:00:00,Mobile
212,Comedy short drama,Navigational,user_2323,2025-02-13 12:00:00,Mobile
213,best content content,Social,user_330,2024-05-31 16:00:00,Mobile
214,watch Fantasy online,Social,user_3153,2024-03-13 22:00:00,Desktop
215,top rated Horror series,Informational,user_3727,2024-06-15 09:00:00,Mobile
216,watch video online,Navigational,user_4807,2024-12-24 00:00:00,Mobile
217,Thriller short drama,Navigational,user_391,2024-07-03 14:00:00,Desktop
218,watch short drama online,Navigational,user_827,2024-03-03 12:00:00,Mobile
219,watch Drama online,Transactional,user_4498,2024-03-02 02:00:00,Desktop
220,Romance short drama,Transactional,user_2668,2024-11-28 12:00:00,Mobile
221,watch Thriller online,Navigational,user_4279,2024-10-23 22:00:00,Mobile
222,best Fantasy content,Entertainment,user_921,2024-11-11 04:00:00,Desktop
223,top rated video series,Navigational,user_311,2025-01-07 02:00:00,Desktop
224,watch content online,Social,user_3213,2024-06-07 18:00:00,Mobile
225,best Drama content,Informational,user_4573,2024-12-17 12:00:00,Mobile
226,top rated Fantasy series,Informational,user_4362,2024-10-21 13:00:00,Mobile
227,top rated Sci-Fi series,Social,user_2625,2024-06-05 16:00:00,Mobile
228,Fantasy short drama,Navigational,user_146,2024-07-01 20:00:00,Mobile
229,best Romance content,Informational,user_4495,2024-12-01 16:00:00,Desktop
230,content short drama,Social,user_2109,2025-01-15 10:00:00,Mobile
231,top rated Sci-Fi series,Transactional,user_1869,2024-11-24 06:00:00,Tablet
232,top rated content series,Entertainment,user_885,2024-05-28 12:00:00,Mobile
233,content short drama,Informational,user_2266,2024-02-09 00:00:00,Mobile
234,top rated Comedy series,Social,user_1797,2024-12-09 13:00:00,Tablet
235,best Romance content,Transactional,user_1914,2025-02-11 20:00:00,Mobile
236,Comedy short drama,Navigational,user_2110,2024-10-31 16:00:00,Mobile
237,Comedy short drama,Social,user_893,2024-07-13 19:00:00,Mobile
238,watch Action online,Informational,user_2683,2025-01-17 11:00:00,Mobile
239,best Comedy content,Navigational,user_1356,2025-02-10 08:00:00,Mobile
240,content short drama,Entertainment,user_975,2024-06-21 05:00:00,Mobile
241,top rated Thriller series,Navigational,user_914,2024-12-08 20:00:00,Mobile
242,best Thriller content,Informational,user_3112,2025-01-31 12:00:00,Mobile
243,Comedy short drama,Transactional,user_1592,2024-09-14 15:00:00,Mobile
244,Romance short drama,Transactional,user_2384,2024-05-14 23:00:00,Mobile
245,watch content online,Informational,user_363,2024-04-18 12:00:00,Desktop
246,top rated video series,Transactional,user_2470,2024-07-18 19:00:00,Mobile
247,best content content,Navigational,user_2809,2024-08-02 14:00:00,Desktop
248,top rated video series,Transactional,user_3509,2024-06-04 21:00:00,Tablet
249,top rated Action series,Navigational,user_589,2025-02-09 19:00:00,Mobile
250,best content content,Informational,user_2065,2024-10-19 01:00:00,Desktop
251,best Fantasy content,Transactional,user_1008,2024-08-14 21:00:00,Mobile
252,Sci-Fi short drama,Informational,user_1248,2024-02-29 19:00:00,Desktop
253,best Thriller content,Entertainment,user_1888,2024-02-22 17:00:00,Tablet
254,top rated Romance series,Informational,user_886,2024-04-24 16:00:00,Mobile
255,watch Fantasy online,Navigational,user_2354,2024-11-05 21:00:00,Tablet
256,watch Drama online,Transactional,user_2429,2024-08-01 14:00:00,Mobile
257,Romance short drama,Transactional,user_2507,2025-02-05 21:00:00,Mobile
258,best Drama content,Transactional,user_39,2024-05-19 06:00:00,Desktop
259,top rated content series,Navigational,user_3156,2024-05-08 21:00:00,Mobile
260,best Comedy content,Entertainment,user_3512,2024-02-11 04:00:00,Tablet
261,watch Thriller online,Entertainment,user_1683,2024-08-22 10:00:00,Mobile
262,watch Horror online,Navigational,user_1981,2024-05-07 08:00:00,Desktop
263,watch Action online,Entertainment,user_2256,2024-05-30 10:00:00,Tablet
264,best short drama content,Social,user_3381,2024-12-28 23:00:00,Desktop
265,top rated Action series,Transactional,user_4445,2024-02-09 23:00:00,Mobile
266,top rated Fantasy series,Navigational,user_2947,2024-11-17 21:00:00,Mobile
267,best Sci-Fi content,Entertainment,user_1876,2024-03-14 11:00:00,Mobile
268,top rated short drama series,Social,user_117,2024-04-11 09:00:00,Desktop
269,top rated content series,Social,user_2769,2024-06-22 15:00:00,Mobile
270,Action short drama,Transactional,user_729,2024-03-26 03:00:00,Desktop
271,watch Fantasy online,Transactional,user_1577,2024-10-07 11:00:00,Tablet
272,Horror short drama,Entertainment,user_2721,2025-01-06 01:00:00,Desktop
273,top rated Action series,Informational,user_2,2024-09-22 08:00:00,Mobile
274,best Romance content,Entertainment,user_918,2024-05-12 06:00:00,Mobile
275,Sci-Fi short drama,Navigational,user_4239,2024-05-06 17:00:00,Mobile
276,top rated Romance series,Transactional,user_317,2024-09-10 10:00:00,Desktop
277,short drama short drama,Informational,user_2271,2025-02-05 07:00:00,Mobile
278,top rated Fantasy series,Navigational,user_3390,2025-01-22 11:00:00,Mobile
279,watch content online,Transactional,user_208,2024-02-07 11:00:00,Mobile
280,Horror short drama,Transactional,user_4905,2024-11-23 19:00:00,Desktop
281,content short drama,Entertainment,user_2135,2024-03-06 00:00:00,Desktop
282,watch video online,Entertainment,user_4781,2024-03-21 07:00:00,Desktop
283,watch Thriller online,Transactional,user_3666,2024-10-21 01:00:00,Desktop
284,top rated Thriller series,Informational,user_1083,2025-01-07 18:00:00,Desktop
285,watch Horror online,Informational,user_903,2024-10-18 21:00:00,Tablet
286,best video content,Entertainment,user_4612,2025-02-03 03:00:00,Desktop
287,Fantasy short drama,Informational,user_4704,2024-09-30 11:00:00,Mobile
288,top rated Action series,Entertainment,user_2626,2025-02-05 09:00:00,Desktop
289,Sci-Fi short drama,Transactional,user_1395,2025-01-29 05:00:00,Mobile
290,best Comedy content,Navigational,user_3624,2024-05-03 06:00:00,Mobile
291,top rated video series,Entertainment,user_4574,2025-01-15 11:00:00,Mobile
292,watch Action online,Social,user_4006,2024-07-12 16:00:00,Mobile
293,watch Fantasy online,Informational,user_3156,2024-12-12 17:00:00,Mobile
294,watch Romance online,Informational,user_2041,2024-12-08 11:00:00,Mobile
295,best Thriller content,Informational,user_4556,2024-10-21 06:00:00,Mobile
296,content short drama,Transactional,user_630,2024-01-12 05:00:00,Mobile
297,top rated video series,Informational,user_1281,2024-09-18 12:00:00,Mobile
298,top rated content series,Informational,user_2361,2024-01-24 23:00:00,Mobile
299,watch short drama online,Social,user_2735,2024-09-11 20:00:00,Mobile
300,best Romance content,Entertainment,user_2204,2024-02-27 22:00:00,Desktop
301,best content content,Entertainment,user_3954,2024-02-10 08:00:00,Mobile
302,Drama short drama,Social,user_1059,2024-06-27 21:00:00,Mobile
303,best content content,Informational,user_1009,2024-02-21 05:00:00,Desktop
304,best Drama content,Navigational,user_1240,2024-08-11 18:00:00,Mobile
305,best Action content,Navigational,user_3869,2025-01-26 16:00:00,Mobile
306,watch Fantasy online,Transactional,user_3250,2025-01-14 14:00:00,Desktop
307,watch Drama online,Social,user_4404,2024-03-23 01:00:00,Mobile
308,top rated Sci-Fi series,Navigational,user_1365,2024-12-12 16:00:00,Desktop
309,best Horror content,Navigational,user_2475,2024-09-10 17:00:00,Mobile
310,best Action content,Navigational,user_3720,2024-01-13 14:00:00,Mobile
311,top rated content series,Informational,user_4910,2024-05-08 00:00:00,Mobile
312,top rated Thriller series,Social,user_2409,2024-12-04 13:00:00,Desktop
313,top rated Action series,Informational,user_3233,2024-11-23 00:00:00,Tablet
314,best short drama content,Social,user_3231,2024-01-21 08:00:00,Mobile
315,best Action content,Entertainment,user_1638,2024-06-20 10:00:00,Desktop
316,best Action content,Informational,user_851,2024-02-27 20:00:00,Desktop
317,Fantasy short drama,Informational,user_2773,2024-06-04 06:00:00,Desktop
318,watch video online,Social,user_3987,2024-04-29 19:00:00,Mobile
319,best Romance content,Informational,user_3339,2024-10-19 02:00:00,Mobile
320,video short drama,Informational,user_1027,2024-09-16 12:00:00,Desktop
321,Action short drama,Entertainment,user_1178,2024-07-17 08:00:00,Mobile
322,top rated Action series,Social,user_3023,2024-12-09 02:00:00,Desktop
323,Horror short drama,Navigational,user_2412,2024-09-30 18:00:00,Mobile
324,watch Sci-Fi online,Social,user_715,2024-06-21 18:00:00,Mobile
325,best Thriller content,Transactional,user_964,2024-10-24 23:00:00,Mobile
326,best content content,Entertainment,user_106,2024-08-18 19:00:00,Desktop
327,best Action content,Social,user_2138,2024-07-04 05:00:00,Mobile
328,watch video online,Social,user_3655,2024-10-22 22:00:00,Mobile
329,best video content,Navigational,user_36,2024-08-04 19:00:00,Mobile
330,Sci-Fi short drama,Informational,user_1709,2024-09-18 20:00:00,Desktop
331,best Horror content,Entertainment,user_3977,2024-05-09 01:00:00,Mobile
332,top rated video series,Navigational,user_1661,2024-09-19 07:00:00,Mobile
333,watch video online,Social,user_4146,2024-10-10 15:00:00,Desktop
334,Sci-Fi short drama,Informational,user_146,2024-07-27 18:00:00,Desktop
335,watch Romance online,Navigational,user_4677,2025-02-11 08:00:00,Desktop
336,best Action content,Social,user_662,2024-04-28 20:00:00,Desktop
337,top rated Sci-Fi series,Transactional,user_650,2025-01-16 16:00:00,Mobile
338,short drama short drama,Informational,user_770,2024-02-25 23:00:00,Mobile
339,Thriller short drama,Transactional,user_1578,2024-10-09 12:00:00,Desktop
340,watch Romance online,Entertainment,user_2350,2024-08-25 11:00:00,Desktop
341,top rated video series,Social,user_4132,2024-11-22 19:00:00,Mobile
342,best Fantasy content,Transactional,user_2473,2024-01-30 11:00:00,Mobile
343,top rated Action series,Social,user_2476,2024-05-30 10:00:00,Desktop
344,Fantasy short drama,Navigational,user_67,2024-11-28 11:00:00,Mobile
345,Comedy short drama,Navigational,user_2775,2024-08-08 11:00:00,Desktop
346,watch Romance online,Navigational,user_1495,2024-06-24 11:00:00,Mobile
347,top rated video series,Social,user_1869,2024-05-20 14:00:00,Mobile
348,video short drama,Informational,user_2103,2024-05-08 11:00:00,Mobile
349,top rated Fantasy series,Transactional,user_1680,2024-01-10 20:00:00,Mobile
350,top rated Comedy series,Social,user_3944,2024-12-22 11:00:00,Mobile
351,top rated Thriller series,Navigational,user_4552,2025-02-18 22:00:00,Desktop
352,top rated Thriller series,Entertainment,user_1524,2024-04-26 01:00:00,Mobile
353,best Drama content,Navigational,user_1602,2024-04-10 08:00:00,Mobile
354,best content content,Informational,user_2497,2024-09-05 10:00:00,Desktop
355,Sci-Fi short drama,Entertainment,user_4407,2024-12-18 05:00:00,Tablet
356,watch content online,Entertainment,user_244,2024-06-20 03:00:00,Tablet
357,video short drama,Navigational,user_1827,2024-11-13 21:00:00,Desktop
358,top rated Sci-Fi series,Informational,user_4495,2024-11-22 18:00:00,Mobile
359,watch Action online,Navigational,user_4362,2024-08-23 16:00:00,Mobile
360,best Horror content,Entertainment,user_95,2024-09-02 21:00:00,Mobile
361,Horror short drama,Social,user_2947,2024-04-15 10:00:00,Mobile
362,best short drama content,Social,user_2530,2024-05-03 12:00:00,Mobile
363,watch short drama online,Entertainment,user_4224,2024-12-29 22:00:00,Mobile
364,best Action content,Entertainment,user_2495,2024-04-23 07:00:00,Mobile
365,top rated Action series,Transactional,user_1954,2024-09-27 08:00:00,Mobile
366,content short drama,Social,user_1951,2024-08-03 15:00:00,Mobile
367,watch Sci-Fi online,Informational,user_4245,2024-08-15 00:00:00,Desktop
368,watch Comedy online,Entertainment,user_609,2024-03-09 06:00:00,Mobile
369,watch Thriller online,Entertainment,user_820,2024-05-17 04:00:00,Desktop
370,watch Horror online,Navigational,user_1509,2024-11-23 22:00:00,Mobile
371,watch Comedy online,Transactional,user_2140,2024-03-05 13:00:00,Mobile
372,best Horror content,Navigational,user_2294,2024-07-20 13:00:00,Mobile
373,watch video online,Navigational,user_901,2024-09-21 20:00:00,Desktop
374,best Thriller content,Navigational,user_4269,2024-01-28 23:00:00,Mobile
375,best Comedy content,Entertainment,user_2443,2024-07-18 22:00:00,Mobile
376,best Sci-Fi content,Navigational,user_2558,2024-08-30 19:00:00,Desktop
377,top rated Action series,Transactional,user_3805,2025-02-06 03:00:00,Desktop
378,best video content,Navigational,user_2445,2024-04-21 08:00:00,Tablet
379,top rated Romance series,Informational,user_425,2024-09-18 08:00:00,Desktop
380,Romance short drama,Navigational,user_3898,2024-12-04 11:00:00,Desktop
