query_id,content_id,relevance_score,judgment_source
21977,716,0,simulated
44263,2966,2,simulated
23777,3642,0,simulated
30081,6951,4,simulated
1307,1444,4,simulated
6777,4870,4,simulated
27252,4784,0,simulated
9475,8262,1,simulated
40295,5687,1,simulated
21960,9566,1,simulated
5531,6205,3,simulated
29321,3326,1,simulated
3749,2387,4,simulated
31969,7006,0,simulated
32563,6105,1,simulated
13546,3978,0,simulated
664,2352,1,simulated
34767,2667,1,simulated
7995,7320,2,simulated
28022,5496,1,simulated
30304,6428,1,simulated
3305,282,2,simulated
46577,8854,0,simulated
39354,8672,3,simulated
17676,6763,1,simulated
44418,7076,1,simulated
23939,5326,4,simulated
23665,8741,4,simulated
1637,8835,3,simulated
20081,9180,1,simulated
27729,7232,2,simulated
49851,364,0,simulated
26737,7386,3,simulated
28674,3688,0,simulated
37506,6551,3,simulated
47324,4066,4,simulated
46646,5178,0,simulated
855,3980,3,simulated
24549,2313,1,simulated
38624,9542,2,simulated
7393,9362,1,simulated
46718,6512,2,simulated
21557,591,3,simulated
38560,5959,0,simulated
26310,7148,1,simulated
21920,7305,0,simulated
4932,8876,0,simulated
32971,131,3,simulated
44216,3744,0,simulated
12689,6966,1,simulated
25343,1973,3,simulated
37158,6578,3,simulated
2328,2155,0,simulated
40773,2074,3,simulated
40546,4009,0,simulated
198,2687,1,simulated
23510,6522,2,simulated
34699,7816,1,simulated
44543,7192,1,simulated
15088,8461,2,simulated
22672,2379,0,simulated
25185,7398,0,simulated
27849,3260,0,simulated
42108,4843,3,simulated
20667,5262,0,simulated
44358,3118,1,simulated
15709,8435,0,simulated
26371,4869,1,simulated
49812,5871,2,simulated
2812,5272,1,simulated
47012,4637,0,simulated
6547,2067,1,simulated
34755,6078,0,simulated
30207,3551,1,simulated
41107,3248,3,simulated
11412,8413,1,simulated
2912,7726,0,simulated
1735,7761,0,simulated
18228,583,0,simulated
8681,7910,4,simulated
19361,4421,3,simulated
18344,6779,0,simulated
5760,1441,0,simulated
23079,4119,2,simulated
35154,2427,4,simulated
11112,9826,3,simulated
37505,8381,0,simulated
1803,7812,2,simulated
8156,642,0,simulated
8121,4794,1,simulated
39385,4937,2,simulated
47026,4124,2,simulated
47255,6817,2,simulated
21919,7447,1,simulated
20446,3668,1,simulated
30307,6007,2,simulated
16647,2847,1,simulated
46844,3630,3,simulated
31066,3455,2,simulated
25200,1019,1,simulated
41977,8749,2,simulated
16372,7775,2,simulated
11836,9007,0,simulated
45937,9021,2,simulated
2050,5298,0,simulated
31617,8739,2,simulated
38192,3493,1,simulated
47358,9272,0,simulated
20933,1595,4,simulated
29856,1945,1,simulated
7159,1556,3,simulated
43017,8880,3,simulated
7401,2959,1,simulated
42643,8766,0,simulated
15152,5225,0,simulated
1155,911,3,simulated
4500,9208,0,simulated
6296,5291,2,simulated
12184,8987,0,simulated
29300,1334,2,simulated
12875,2796,3,simulated
32712,4263,4,simulated
5540,6137,0,simulated
42406,7892,1,simulated
48355,9216,2,simulated
2558,163,0,simulated
38361,2683,3,simulated
16483,5182,1,simulated
2201,3839,1,simulated
46941,3178,4,simulated
2962,9360,1,simulated
46976,4496,1,simulated
21358,3820,4,simulated
11970,8550,2,simulated
2870,9448,1,simulated
46761,679,2,simulated
28644,446,0,simulated
24737,1641,1,simulated
38468,6160,0,simulated
23329,8246,1,simulated
25877,7934,1,simulated
21296,4845,2,simulated
3988,3983,4,simulated
22400,8210,0,simulated
46215,772,4,simulated
33987,6693,0,simulated
20881,9512,0,simulated
4736,1599,0,simulated
44065,7236,2,simulated
4556,7569,1,simulated
41915,3554,0,simulated
40819,6832,3,simulated
45526,19,0,simulated
19831,309,0,simulated
17430,2855,4,simulated
6894,6076,1,simulated
14374,7260,2,simulated
47334,5581,2,simulated
3437,3491,4,simulated
8755,4425,4,simulated
10678,1361,0,simulated
5896,9634,0,simulated
19739,783,1,simulated
30747,7015,2,simulated
49378,1099,1,simulated
48405,984,0,simulated
32353,8986,3,simulated
39791,2225,0,simulated
41920,9974,1,simulated
5601,772,1,simulated
29125,7313,1,simulated
27644,8781,0,simulated
40765,714,0,simulated
9008,9297,2,simulated
45715,3179,0,simulated
37411,2697,0,simulated
44081,7263,1,simulated
40448,3171,0,simulated
8209,5002,4,simulated
18590,48,2,simulated
43485,8591,2,simulated
17454,1282,4,simulated
36213,6458,0,simulated
43526,4262,1,simulated
47203,3587,2,simulated
32636,5112,3,simulated
33829,8673,4,simulated
18712,4977,2,simulated
3421,5592,4,simulated
31217,4795,4,simulated
302,237,2,simulated
45237,3773,2,simulated
49759,817,4,simulated
700,1984,3,simulated
191,8724,3,simulated
10493,3925,0,simulated
35744,8877,4,simulated
6103,2705,1,simulated
19779,8770,3,simulated
26642,3990,3,simulated
34585,2482,2,simulated
32746,3199,2,simulated
23094,6135,4,simulated
570,4523,0,simulated
38211,5521,1,simulated
34664,5268,2,simulated
36632,6565,0,simulated
45682,3663,1,simulated
7456,2330,2,simulated
4015,8512,0,simulated
11094,7583,4,simulated
18071,2974,1,simulated
35778,7590,0,simulated
16539,3708,1,simulated
10730,1520,0,simulated
34178,3170,0,simulated
45018,7540,4,simulated
785,9368,1,simulated
27752,3997,0,simulated
40865,5991,3,simulated
40329,8152,0,simulated
12534,5733,1,simulated
40112,9286,4,simulated
39975,4608,0,simulated
5802,7018,4,simulated
19191,415,1,simulated
49690,3476,0,simulated
38755,5550,1,simulated
29593,8809,3,simulated
10648,8124,0,simulated
8717,470,1,simulated
23356,809,4,simulated
22010,6629,2,simulated
24377,3570,3,simulated
45092,6476,4,simulated
4781,4241,0,simulated
2369,206,1,simulated
12040,5002,0,simulated
6656,6234,2,simulated
40942,170,0,simulated
4496,5358,0,simulated
10894,1424,2,simulated
25548,420,0,simulated
22387,397,3,simulated
13404,7432,0,simulated
32098,5353,2,simulated
13122,2357,4,simulated
10967,5765,3,simulated
33622,8496,2,simulated
28313,3834,3,simulated
49727,8472,4,simulated
22678,4297,1,simulated
31290,4587,3,simulated
31025,1995,1,simulated
42676,1742,4,simulated
4778,4394,3,simulated
29750,8640,1,simulated
15339,6341,2,simulated
2492,1914,1,simulated
27237,2780,3,simulated
48097,8013,4,simulated
14600,6205,2,simulated
19509,9043,0,simulated
3052,72,1,simulated
48748,452,1,simulated
49157,3865,3,simulated
21607,9855,3,simulated
21700,8391,0,simulated
877,6968,0,simulated
32094,4379,0,simulated
4143,6120,1,simulated
15203,9367,2,simulated
39735,3112,3,simulated
7080,4154,1,simulated
7988,2596,4,simulated
39568,8906,2,simulated
28941,6528,1,simulated
37234,2159,0,simulated
17020,9648,3,simulated
46186,8088,3,simulated
18078,1749,0,simulated
26259,7464,1,simulated
21137,6429,2,simulated
8312,2349,4,simulated
17215,3949,0,simulated
14099,2594,4,simulated
28252,3162,3,simulated
37946,7695,1,simulated
47031,582,1,simulated
25946,6994,0,simulated
25317,9287,0,simulated
32218,2402,1,simulated
8309,641,2,simulated
5950,6326,0,simulated
1151,110,1,simulated
23945,3458,1,simulated
34700,6308,3,simulated
9205,9756,2,simulated
1082,7383,0,simulated
29306,9787,2,simulated
16897,7212,4,simulated
46176,5260,0,simulated
7806,2461,1,simulated
5238,9183,0,simulated
49712,9023,0,simulated
20057,7024,0,simulated
45544,1783,2,simulated
49013,8162,0,simulated
45953,6993,2,simulated
3344,8724,1,simulated
13501,9887,0,simulated
29376,5973,3,simulated
9663,2272,2,simulated
16965,1527,1,simulated
47894,9175,1,simulated
8131,3627,0,simulated
19532,5483,0,simulated
1680,808,3,simulated
3507,710,1,simulated
13285,3087,1,simulated
7254,8538,2,simulated
19129,5588,0,simulated
27933,6637,0,simulated
9436,926,1,simulated
44079,2909,0,simulated
13297,6221,3,simulated
30446,1470,1,simulated
13246,9193,1,simulated
29125,4369,1,simulated
29900,6039,1,simulated
43920,1049,1,simulated
43226,4853,1,simulated
35248,7481,1,simulated
29223,3541,1,simulated
26212,5475,1,simulated
37221,7958,1,simulated
26647,5841,0,simulated
38650,2564,2,simulated
23050,2106,4,simulated
14070,2220,1,simulated
32581,3302,3,simulated
31844,2194,1,simulated
2850,5557,1,simulated
40159,4950,1,simulated
23290,9021,2,simulated
44691,5689,1,simulated
35258,3407,0,simulated
9824,7065,1,simulated
41976,5178,4,simulated
9541,9484,2,simulated
16365,32,3,simulated
4612,6554,2,simulated
27664,2479,2,simulated
38647,1962,2,simulated
30978,5721,0,simulated
29169,4318,2,simulated
49116,6195,2,simulated
25472,4905,4,simulated
22688,8897,0,simulated
852,5985,1,simulated
18072,4991,0,simulated
6834,2507,0,simulated
11939,6741,3,simulated
35196,3112,0,simulated
26145,3026,1,simulated
4001,5285,0,simulated
5053,6482,0,simulated
35507,1429,2,simulated
28075,4136,1,simulated
38156,9246,1,simulated
40771,4393,2,simulated
32321,6991,0,simulated
38305,7907,1,simulated
46248,6876,4,simulated
3914,9476,0,simulated
17451,1948,3,simulated
24108,606,3,simulated
20765,6576,3,simulated
43405,9529,0,simulated
20492,2937,3,simulated
38495,2779,1,simulated
3374,5648,0,simulated
12162,4960,2,simulated
31997,7076,2,simulated
27123,1935,1,simulated
34851,2707,1,simulated
27351,730,1,simulated
27473,9182,1,simulated
28762,6295,1,simulated
25352,463,1,simulated
23133,11,0,simulated
49050,6571,3,simulated
15306,6997,4,simulated
9818,7040,2,simulated
11262,4135,3,simulated
418,8783,1,simulated
41577,9681,0,simulated
20359,5081,0,simulated
3268,3224,0,simulated
17210,941,0,simulated
24053,3364,0,simulated
38514,6660,2,simulated
26093,4801,3,simulated
11339,614,2,simulated
413,5003,2,simulated
7544,5785,0,simulated
40356,3954,1,simulated
33497,2612,1,simulated
23549,8902,0,simulated
27385,7894,0,simulated
44426,1807,1,simulated
38757,1654,2,simulated
18889,1469,0,simulated
35736,289,1,simulated
47296,6993,1,simulated
48817,1405,1,simulated
17507,2444,0,simulated
20464,2046,2,simulated
17956,4383,1,simulated
37842,2594,0,simulated
5105,5734,3,simulated
34912,4034,1,simulated
23191,7547,4,simulated
7358,7199,0,simulated
32480,4394,1,simulated
44812,9486,2,simulated
36209,2748,1,simulated
20151,5599,0,simulated
5645,5345,4,simulated
43287,3511,1,simulated
47321,1059,3,simulated
2915,4741,2,simulated
21353,947,1,simulated
46353,8935,2,simulated
44913,1396,0,simulated
14398,4442,4,simulated
41556,9560,2,simulated
46960,2244,0,simulated
729,1655,3,simulated
699,3921,3,simulated
39955,2576,1,simulated
47281,2677,0,simulated
13924,2452,1,simulated
16780,5492,2,simulated
7401,107,3,simulated
24467,6588,0,simulated
36940,1321,1,simulated
4361,1409,4,simulated
35271,3460,3,simulated
17102,5430,1,simulated
32308,8160,1,simulated
5487,6856,2,simulated
8336,1218,3,simulated
21365,5870,0,simulated
37260,6808,4,simulated
23577,8255,0,simulated
31668,2318,2,simulated
11131,4021,0,simulated
21973,9388,0,simulated
40420,1707,0,simulated
1168,1153,0,simulated
27193,4982,4,simulated
1063,2401,0,simulated
18541,8832,3,simulated
24245,6795,2,simulated
21546,8953,2,simulated
21690,7247,4,simulated
11175,1244,4,simulated
22926,3159,0,simulated
37498,6985,3,simulated
9349,2452,0,simulated
23715,4213,2,simulated
38103,2550,1,simulated
8925,7825,0,simulated
37099,8127,1,simulated
24395,9807,1,simulated
6802,6318,0,simulated
37615,7274,0,simulated
6732,9313,2,simulated
48137,6622,0,simulated
23626,3920,1,simulated
17338,8740,3,simulated
35308,9829,1,simulated
7057,2609,3,simulated
11517,1446,3,simulated
44262,3800,0,simulated
1543,9541,2,simulated
21678,4977,0,simulated
46733,9685,0,simulated
39082,7523,1,simulated
27570,2057,2,simulated
23323,3053,3,simulated
19066,8897,3,simulated
17925,2334,4,simulated
22557,9143,0,simulated
26963,1826,1,simulated
28296,2388,0,simulated
13808,4975,1,simulated
42349,6963,2,simulated
26433,186,4,simulated
17750,1255,0,simulated
41460,3609,3,simulated
26257,5259,3,simulated
40263,882,1,simulated
37081,776,1,simulated
1325,7963,0,simulated
25732,4286,3,simulated
35910,1608,1,simulated
23804,8545,2,simulated
19871,1097,4,simulated
34579,7030,2,simulated
6589,4118,1,simulated
38070,713,3,simulated
26791,8223,3,simulated
25290,3362,3,simulated
28179,2884,4,simulated
28711,1461,3,simulated
15486,4150,0,simulated
44483,4467,3,simulated
20653,3654,0,simulated
4749,97,4,simulated
21234,9077,2,simulated
9436,8722,3,simulated
3710,3720,3,simulated
30356,8032,4,simulated
13117,6462,0,simulated
25471,7219,0,simulated
42345,6431,0,simulated
42919,4746,0,simulated
39299,3668,4,simulated
42957,5411,1,simulated
14684,413,0,simulated
505,8113,0,simulated
33983,9247,1,simulated
34300,9064,2,simulated
28017,7138,2,simulated
23961,1506,1,simulated
33592,96,3,simulated
17313,225,2,simulated
37798,9765,0,simulated
46197,4831,1,simulated
49286,7452,2,simulated
2106,1702,4,simulated
36396,3820,0,simulated
45741,8330,0,simulated
22701,2376,0,simulated
34621,4691,1,simulated
37679,4636,4,simulated
20560,3781,1,simulated
27510,2682,4,simulated
27861,9730,0,simulated
11004,6226,3,simulated
21733,9058,0,simulated
25827,8590,2,simulated
30355,8184,1,simulated
13844,4810,3,simulated
44473,2406,0,simulated
48530,181,3,simulated
6191,5635,1,simulated
17641,9352,0,simulated
38414,5385,3,simulated
42357,203,0,simulated
44598,4880,2,simulated
40822,5602,1,simulated
3331,6431,3,simulated
19088,1121,2,simulated
41431,3959,2,simulated
24505,94,1,simulated
7115,5415,2,simulated
13324,9232,1,simulated
34122,474,1,simulated
10976,7104,0,simulated
11024,5580,0,simulated
21448,211,4,simulated
24934,6703,3,simulated
23960,2491,3,simulated
668,8291,0,simulated
29704,8213,1,simulated
9338,7349,0,simulated
46428,5967,1,simulated
36488,6838,2,simulated
19130,561,1,simulated
40252,7568,3,simulated
31922,3344,2,simulated
33308,108,1,simulated
27356,4932,0,simulated
37733,5797,1,simulated
4836,2072,3,simulated
20160,2824,3,simulated
38811,1772,0,simulated
47606,2501,1,simulated
40081,9835,2,simulated
38089,2163,3,simulated
13217,6538,0,simulated
35548,952,2,simulated
31472,2668,1,simulated
17309,9801,1,simulated
27533,2644,2,simulated
34350,3174,0,simulated
45446,5840,0,simulated
5714,4342,0,simulated
49408,811,1,simulated
4805,1011,1,simulated
10137,5827,4,simulated
10,7514,1,simulated
19256,8190,2,simulated
23794,1851,4,simulated
29549,1142,3,simulated
37893,8899,1,simulated
1016,4031,1,simulated
27713,7542,1,simulated
34962,4077,1,simulated
8416,4295,1,simulated
46319,767,0,simulated
47281,7073,0,simulated
23834,1101,1,simulated
4159,9663,2,simulated
20310,3498,0,simulated
6971,9887,0,simulated
6939,6652,1,simulated
21169,1473,2,simulated
46541,7281,3,simulated
20385,5356,2,simulated
18018,6007,0,simulated
10345,9382,0,simulated
40035,4394,0,simulated
8703,167,1,simulated
385,4937,1,simulated
405,3526,1,simulated
40944,4600,0,simulated
47927,5737,0,simulated
29190,2807,3,simulated
12764,4553,2,simulated
18385,859,3,simulated
32607,9117,1,simulated
9861,4804,2,simulated
38758,9881,0,simulated
15107,10000,1,simulated
23575,2233,3,simulated
23525,8610,0,simulated
3637,8907,0,simulated
10917,2825,3,simulated
4810,8315,1,simulated
32202,3309,0,simulated
13457,6131,3,simulated
48213,6748,1,simulated
38766,9643,3,simulated
34817,8253,1,simulated
45107,5829,4,simulated
17101,2960,3,simulated
21950,4188,1,simulated
4545,9090,4,simulated
37745,970,1,simulated
45544,2579,3,simulated
42784,5952,0,simulated
26658,5114,3,simulated
36188,788,2,simulated
47199,6970,2,simulated
7240,9212,1,simulated
14490,6971,1,simulated
49402,1654,1,simulated
43126,1261,1,simulated
49923,3363,1,simulated
28539,5481,4,simulated
32050,4388,0,simulated
37132,8952,3,simulated
42945,3126,0,simulated
8428,6672,1,simulated
41349,4146,0,simulated
24286,6333,2,simulated
37627,6826,2,simulated
42809,3249,0,simulated
22929,6864,1,simulated
19199,5376,1,simulated
19759,2238,1,simulated
15255,5968,0,simulated
44239,1484,0,simulated
1253,5129,1,simulated
39765,7024,1,simulated
12174,9204,1,simulated
37442,7191,4,simulated
26699,297,0,simulated
15782,5076,0,simulated
13052,1776,1,simulated
39650,11,2,simulated
6950,7169,4,simulated
42290,3214,1,simulated
8018,5243,0,simulated
6942,4540,1,simulated
25935,9092,3,simulated
23387,5359,3,simulated
10210,6299,3,simulated
17716,9223,1,simulated
28921,7640,2,simulated
31704,9673,0,simulated
42319,7617,1,simulated
4638,9954,1,simulated
4855,6760,1,simulated
43089,8807,3,simulated
37661,7107,0,simulated
39812,9402,4,simulated
49290,4784,3,simulated
19857,3994,1,simulated
21834,8488,2,simulated
19964,6661,3,simulated
36933,522,3,simulated
27170,5342,2,simulated
7942,7753,4,simulated
14389,8878,3,simulated
5570,3616,0,simulated
4301,1621,2,simulated
39038,6002,0,simulated
36587,505,1,simulated
12016,7450,0,simulated
45003,8087,1,simulated
6255,3465,1,simulated
17145,6199,3,simulated
24215,4744,3,simulated
40119,7148,0,simulated
15184,8820,2,simulated
6239,7224,0,simulated
6091,9143,1,simulated
11638,2803,0,simulated
22416,9966,3,simulated
24072,9003,0,simulated
45416,8248,0,simulated
42680,8082,0,simulated
41241,3871,1,simulated
18272,2537,0,simulated
36035,6756,1,simulated
33435,8179,0,simulated
4189,147,0,simulated
49824,4291,1,simulated
10162,2337,3,simulated
28733,458,3,simulated
11315,8387,1,simulated
23955,8487,0,simulated
21509,6754,4,simulated
21970,2098,2,simulated
45660,7438,3,simulated
37546,5724,0,simulated
36669,158,1,simulated
23062,6811,2,simulated
13717,2626,0,simulated
39750,101,0,simulated
39145,9511,4,simulated
16908,5546,0,simulated
18778,6975,2,simulated
27694,871,1,simulated
42929,6199,2,simulated
26330,1698,0,simulated
46893,697,0,simulated
16283,2416,0,simulated
23625,5293,3,simulated
23322,1617,3,simulated
10489,7063,2,simulated
22575,3103,0,simulated
5241,9609,2,simulated
43222,5529,1,simulated
10479,4357,0,simulated
45163,668,0,simulated
19263,7797,0,simulated
4433,7687,2,simulated
29722,5994,2,simulated
13569,9080,0,simulated
14179,5546,2,simulated
22196,2873,0,simulated
303,3814,1,simulated
17023,3708,0,simulated
56,8409,1,simulated
45782,4626,3,simulated
8718,2165,1,simulated
28700,2989,3,simulated
8151,8000,0,simulated
2126,290,0,simulated
44248,5245,2,simulated
48514,163,0,simulated
16749,4990,1,simulated
39578,7631,3,simulated
4622,1564,0,simulated
15035,12,0,simulated
46392,4291,3,simulated
5127,1290,0,simulated
5123,868,2,simulated
18031,1799,2,simulated
17303,5803,3,simulated
19182,6420,1,simulated
38639,753,1,simulated
1532,5614,4,simulated
40941,3317,0,simulated
40442,2413,2,simulated
23334,5043,2,simulated
39651,5068,0,simulated
34675,3838,0,simulated
35855,9064,0,simulated
46272,6761,1,simulated
8153,3068,4,simulated
38519,7411,1,simulated
45541,2148,2,simulated
10268,9158,2,simulated
25290,9975,0,simulated
1063,2012,3,simulated
29927,6209,4,simulated
6230,8753,1,simulated
49278,9283,2,simulated
47916,996,0,simulated
4633,5467,0,simulated
39057,5190,2,simulated
3597,3486,0,simulated
44244,8101,1,simulated
6169,1478,1,simulated
42564,8401,0,simulated
7562,3887,1,simulated
8259,9182,1,simulated
16617,4477,0,simulated
26735,7251,0,simulated
6372,7625,0,simulated
26070,1659,3,simulated
14370,9454,0,simulated
12911,8538,3,simulated
7944,4462,0,simulated
12200,4453,1,simulated
15729,7331,2,simulated
23276,1770,2,simulated
6739,4674,0,simulated
15914,3179,2,simulated
35241,8555,2,simulated
19124,1289,4,simulated
48448,2516,1,simulated
34530,2737,2,simulated
10168,268,3,simulated
10555,6379,3,simulated
17261,5949,1,simulated
47046,9840,1,simulated
3813,5927,3,simulated
28025,6359,2,simulated
27286,4552,0,simulated
26901,5398,0,simulated
1606,2650,2,simulated
5623,2387,1,simulated
6768,719,2,simulated
27140,1189,4,simulated
11614,5161,3,simulated
10590,5333,0,simulated
13919,2163,0,simulated
20120,5581,2,simulated
27447,3207,0,simulated
13047,1369,1,simulated
24819,6177,0,simulated
35359,515,0,simulated
4325,2793,3,simulated
10788,5028,3,simulated
9112,5109,0,simulated
38111,8872,1,simulated
16390,4596,2,simulated
41428,9714,1,simulated
14044,5399,3,simulated
28747,3522,2,simulated
22351,8494,1,simulated
41606,2887,3,simulated
118,1301,0,simulated
46686,2657,0,simulated
18936,1475,4,simulated
47078,6399,2,simulated
13235,9881,3,simulated
38329,5967,4,simulated
847,2155,2,simulated
10955,3173,1,simulated
13704,4721,4,simulated
48154,9584,2,simulated
46515,9920,4,simulated
22701,4052,0,simulated
32044,8754,3,simulated
6470,7197,1,simulated
30106,357,0,simulated
42102,5215,3,simulated
26387,9786,0,simulated
49377,7310,4,simulated
45588,7147,4,simulated
36977,9279,3,simulated
39052,4865,0,simulated
2049,6283,1,simulated
39002,9391,2,simulated
12942,1516,2,simulated
45376,5302,0,simulated
42534,2678,4,simulated
1829,2786,3,simulated
1918,497,0,simulated
20619,7297,1,simulated
32255,5642,0,simulated
39757,1677,3,simulated
47363,669,3,simulated
20129,1647,0,simulated
45746,5381,4,simulated
10,3163,4,simulated
16645,5799,1,simulated
22423,4532,0,simulated
9866,2779,3,simulated
2220,9305,1,simulated
39810,6439,0,simulated
5288,3114,3,simulated
34388,3615,3,simulated
8513,9686,0,simulated
1343,75,2,simulated
43337,388,3,simulated
19217,5849,2,simulated
27535,1506,0,simulated
14232,976,0,simulated
32294,3610,2,simulated
26615,840,0,simulated
36259,9387,1,simulated
28254,6566,4,simulated
42079,5653,0,simulated
40753,6430,1,simulated
17989,6899,1,simulated
31038,7206,0,simulated
12220,4221,3,simulated
236,4140,1,simulated
42930,9964,1,simulated
1909,3887,3,simulated
8568,4003,3,simulated
36299,666,1,simulated
5257,6328,3,simulated
19020,4072,4,simulated
8163,9599,1,simulated
5416,9515,0,simulated
36160,403,3,simulated
43926,6806,3,simulated
5952,4537,2,simulated
21853,6818,0,simulated
8008,4658,2,simulated
41833,2357,1,simulated
30524,9052,3,simulated
23326,3629,0,simulated
21205,7602,2,simulated
15525,9596,3,simulated
19283,136,0,simulated
23931,362,3,simulated
78,3343,1,simulated
40346,2954,3,simulated
20612,8411,3,simulated
16985,6610,0,simulated
14061,9620,3,simulated
17450,62,1,simulated
18521,2022,1,simulated
43304,5217,2,simulated
9511,1006,1,simulated
29288,3508,2,simulated
28174,1438,0,simulated
39712,7297,2,simulated
11955,817,3,simulated
7805,577,2,simulated
6566,6903,3,simulated
5985,3963,3,simulated
21527,8541,0,simulated
37439,6309,0,simulated
18575,9395,0,simulated
9185,4150,3,simulated
19097,319,2,simulated
2193,4526,4,simulated
34017,7346,0,simulated
11247,7764,3,simulated
45559,957,1,simulated
18382,6635,4,simulated
36456,1750,4,simulated
26728,2060,4,simulated
4019,5608,1,simulated
11303,8103,3,simulated
1971,7829,0,simulated
41158,3756,3,simulated
27203,5086,0,simulated
31111,6358,0,simulated
17587,9237,4,simulated
24520,4969,2,simulated
31274,8660,3,simulated
21952,743,2,simulated
15375,445,0,simulated
5789,4816,0,simulated
5409,2259,1,simulated
25054,9465,0,simulated
9447,8299,1,simulated
923,8863,0,simulated
33188,6661,4,simulated
10790,3537,2,simulated
32185,2753,3,simulated
1121,9893,1,simulated
44029,3678,4,simulated
32155,2016,2,simulated
17335,5868,0,simulated
2337,5149,1,simulated
38142,3190,2,simulated
2244,4229,1,simulated
19030,158,3,simulated
32266,5739,0,simulated
37381,7826,1,simulated
46715,7589,1,simulated
43873,1803,2,simulated
46198,5380,0,simulated
23711,2929,3,simulated
29487,7832,1,simulated
6372,7010,3,simulated
6360,136,0,simulated
