customer_id,age,annual_income,purchase_frequency,avg_order_value,tenure_months,customer_satisfaction,num_support_tickets,total_spend,days_since_last_purchase,device_type,region,membership_tier,churned,spend_per_purchase,avg_monthly_spend,customer_lifetime_value,engagement_score,churn_risk_score,recency_score,frequency_score,monetary_score,age_income_interaction,support_satisfaction,age_group,income_tier,device_type_Desktop,device_type_Mobile,device_type_Tablet,region_Central,region_East,region_North,region_South,region_West,membership_tier_Bronze,membership_tier_Gold,membership_tier_Platinum,membership_tier_Silver,age_group_18-25,age_group_26-35,age_group_36-50,age_group_51-65,age_group_65+,income_tier_Low,income_tier_Medium,income_tier_High,income_tier_Very High,device_type_target_encoded,region_target_encoded,membership_tier_target_encoded,age_group_target_encoded,income_tier_target_encoded,device_type_freq,region_freq,membership_tier_freq,age_group_freq,income_tier_freq,purchase_day,purchase_month,day_sin,day_cos,month_sin,month_cos
11,32,68416,4,19,66,3.5,0,14119,13,Desktop,East,Silver,0,3529.75,213.92,14119,7.6,0,0.865502994567177,1.6094379124341003,9.555347511047232,218.9312,0.0,26-35,High,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,0.15856095936042638,0.17163048965169106,0.17355643044619423,0.16300036062026685,0.174,0.3002,0.1981,0.3048,0.2773,0.25,6,12,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
12,32,20000,2,27,16,2.6,3,6582,92,Mobile,Central,Bronze,0,3291.0,411.38,6582,8.6,55,0.3597945077825237,1.0986122886681098,8.792245847467877,64.0,7.199999999999999,26-35,Low,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,0.17439919893190922,0.15396188565697091,0.17365878464276632,0.16300036062026685,0.17519623233908949,0.5992,0.1994,0.3933,0.2773,0.3185,2,7,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388
13,40,65249,1,79,1,4.3,2,15132,1,Desktop,West,Silver,0,15132.0,15132.0,15132,10.0,20,0.9889503892939223,0.6931471805599453,9.624633068687027,260.996,1.4000000000000004,36-50,High,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,0.15856095936042638,0.17435897435897435,0.17355643044619423,0.16906390002357935,0.174,0.3002,0.195,0.3048,0.4241,0.25,2,1,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
14,18,68872,6,151,5,3.1,4,14776,9,Mobile,West,Bronze,0,2462.67,2955.2,14776,10.0,45,0.9048374180359595,1.9459101490553132,9.600827196903634,123.9696,7.6,18-25,High,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,0.17439919893190922,0.17435897435897435,0.17365878464276632,0.17580340264650285,0.174,0.5992,0.195,0.3933,0.1587,0.25,4,10,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001
15,18,25329,12,43,10,4.3,1,9180,3,Mobile,East,Platinum,0,765.0,918.0,9180,10.0,0,0.9672161004820059,2.5649493574615367,9.1248914101437,45.5922,0.7000000000000002,18-25,Medium,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,0.17439919893190922,0.17163048965169106,0.14825306893295562,0.17580340264650285,0.1669421487603306,0.5992,0.1981,0.1059,0.1587,0.1815,3,1,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
16,31,20000,7,132,66,3.6,2,16417,0,Mobile,Central,Bronze,0,2345.29,248.74,16417,10.0,0,1.0,2.0794415416798357,9.706133572908211,62.0,2.8,26-35,Low,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,0.17439919893190922,0.15396188565697091,0.17365878464276632,0.16300036062026685,0.17519623233908949,0.5992,0.1994,0.3933,0.2773,0.3185,2,5,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387
17,25,36831,1,41,34,3.1,2,14202,27,Tablet,Central,Bronze,0,14202.0,417.71,14202,10.0,0,0.7408182206817179,0.6931471805599453,9.561208488881128,92.0775,3.8,18-25,High,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,0.16401590457256462,0.15396188565697091,0.17365878464276632,0.17580340264650285,0.174,0.1006,0.1994,0.3933,0.1587,0.25,5,2,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
18,41,127167,8,108,22,5.0,1,18302,37,Mobile,North,Platinum,0,2287.75,831.91,18302,10.0,0,0.6629132704784655,2.1972245773362196,9.814820259819962,521.3847,0.0,36-50,Very High,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,0.17439919893190922,0.16658452439625432,0.14825306893295562,0.16906390002357935,0.156,0.5992,0.2029,0.1059,0.4241,0.25,4,9,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16
19,27,51029,4,63,13,1.7,1,4376,13,Mobile,North,Bronze,1,1094.0,336.62,0,10.0,30,0.865502994567177,1.6094379124341003,8.384118837190895,137.7783,3.3,26-35,High,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,0.17439919893190922,0.16658452439625432,0.17365878464276632,0.16300036062026685,0.174,0.5992,0.2029,0.3933,0.2773,0.25,1,7,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388
20,21,20000,3,22,14,4.1,1,14033,57,Mobile,Central,Silver,0,4677.67,1002.36,14033,8.1,0,0.530819450562014,1.3862943611198906,9.549238235812235,42.0,0.9000000000000004,18-25,Low,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,0.17439919893190922,0.15396188565697091,0.17355643044619423,0.17580340264650285,0.17519623233908949,0.5992,0.1994,0.3048,0.1587,0.3185,3,4,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998
21,55,57404,10,139,25,4.9,3,11412,1,Desktop,Central,Platinum,0,1141.2,456.48,11412,10.0,0,0.9889503892939223,2.3978952727983707,9.3425083355536,315.722,0.29999999999999893,51-65,High,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,0.15856095936042638,0.15396188565697091,0.14825306893295562,0.17013086989992302,0.174,0.3002,0.1994,0.1059,0.1299,0.25,5,4,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998
22,35,27861,2,140,30,2.0,2,11233,19,Mobile,South,Bronze,1,5616.5,374.43,0,10.0,30,0.8096840969833764,1.0986122886681098,9.326700173092378,97.5135,6.0,26-35,Medium,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,0.17439919893190922,0.17644183773216032,0.17365878464276632,0.16300036062026685,0.1669421487603306,0.5992,0.2046,0.3933,0.2773,0.1815,5,2,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
23,38,44766,7,10,15,3.5,5,3682,55,Mobile,South,Bronze,0,526.0,245.47,3682,4.8,25,0.5427474811642219,2.0794415416798357,8.211482916445066,170.1108,7.5,36-50,High,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,0.17439919893190922,0.17644183773216032,0.17365878464276632,0.16906390002357935,0.174,0.5992,0.2046,0.3933,0.4241,0.25,1,5,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387
24,20,66224,3,93,38,4.0,0,12135,51,Desktop,West,Silver,0,4045.0,319.34,12135,10.0,0,0.5674136687970038,1.3862943611198906,9.403931521028369,132.448,0.0,18-25,High,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,0.15856095936042638,0.17435897435897435,0.17355643044619423,0.17580340264650285,0.174,0.3002,0.195,0.3048,0.1587,0.25,3,4,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998
25,31,36174,5,102,17,2.6,3,11880,22,Mobile,South,Gold,0,2376.0,698.82,11880,10.0,30,0.7831394949065555,1.791759469228055,9.382695764458287,112.1394,7.199999999999999,26-35,High,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0.17439919893190922,0.17644183773216032,0.16173469387755102,0.16300036062026685,0.174,0.5992,0.2046,0.196,0.2773,0.25,4,12,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0
26,39,84096,5,85,17,4.1,1,5511,119,Desktop,South,Bronze,0,1102.2,324.18,5511,10.0,25,0.26654232706650366,1.791759469228055,8.614682812693495,327.9744,0.9000000000000004,36-50,Very High,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,0.15856095936042638,0.17644183773216032,0.17365878464276632,0.16906390002357935,0.156,0.3002,0.2046,0.3933,0.4241,0.25,0,1,0.0,1.0,0.49999999999999994,0.8660254037844387
27,24,64034,9,53,25,4.9,4,5014,0,Mobile,West,Gold,0,557.11,200.56,5014,10.0,25,1.0,2.302585092994046,8.520188700396035,153.6816,0.3999999999999986,18-25,High,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,0.17439919893190922,0.17435897435897435,0.16173469387755102,0.17580340264650285,0.174,0.5992,0.195,0.196,0.1587,0.25,3,12,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0
28,42,47735,2,27,37,4.2,2,24533,53,Desktop,North,Silver,0,12266.5,663.05,24533,9.1,0,0.5549435462438714,1.0986122886681098,10.107815189592698,200.487,1.5999999999999996,36-50,High,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.15856095936042638,0.16658452439625432,0.17355643044619423,0.16906390002357935,0.174,0.3002,0.2029,0.3048,0.4241,0.25,1,8,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004
29,30,20000,7,79,21,5.0,3,11061,65,Mobile,East,Bronze,0,1580.14,526.71,11061,10.0,0,0.4856717852477124,2.0794415416798357,9.311271090554623,60.0,0.0,26-35,Low,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,0.17439919893190922,0.17163048965169106,0.17365878464276632,0.16300036062026685,0.17519623233908949,0.5992,0.1981,0.3933,0.2773,0.3185,5,3,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
30,34,90378,5,10,61,2.4,2,19372,20,Desktop,North,Bronze,1,3874.4,317.57,0,4.6,30,0.8007374029168081,1.791759469228055,9.871635623086945,307.2852,5.2,26-35,Very High,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,0.15856095936042638,0.16658452439625432,0.17365878464276632,0.16300036062026685,0.156,0.3002,0.2029,0.3933,0.2773,0.25,4,6,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0
31,30,137369,6,32,50,3.3,2,30012,37,Desktop,Central,Platinum,0,5002.0,600.24,30012,10.0,0,0.6629132704784655,1.9459101490553132,10.309385900115851,412.107,3.4000000000000004,26-35,Very High,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,0.15856095936042638,0.15396188565697091,0.14825306893295562,0.16300036062026685,0.156,0.3002,0.1994,0.1059,0.2773,0.25,3,4,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998
32,60,20000,4,99,35,2.0,0,16071,27,Tablet,Central,Silver,1,4017.75,459.17,0,10.0,30,0.7408182206817179,1.6094379124341003,9.68483390649477,120.0,0.0,51-65,Low,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,0.16401590457256462,0.15396188565697091,0.17355643044619423,0.17013086989992302,0.17519623233908949,0.1006,0.1994,0.3048,0.1299,0.3185,0,9,0.0,1.0,-1.0,-1.8369701987210297e-16
33,37,33495,5,155,14,3.0,5,16126,6,Mobile,South,Gold,0,3225.2,1151.86,16126,10.0,25,0.9355069850316178,1.791759469228055,9.688250164980516,123.9315,10.0,36-50,Medium,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,0.17439919893190922,0.17644183773216032,0.16173469387755102,0.16906390002357935,0.1669421487603306,0.5992,0.2046,0.196,0.4241,0.1815,0,7,0.0,1.0,-0.4999999999999997,-0.8660254037844388
34,25,20000,6,202,22,4.0,5,17365,23,Mobile,West,Bronze,0,2894.17,789.32,17365,10.0,25,0.7744861083592839,1.9459101490553132,9.76226955062059,50.0,5.0,18-25,Low,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,0.17439919893190922,0.17435897435897435,0.17365878464276632,0.17580340264650285,0.17519623233908949,0.5992,0.195,0.3933,0.1587,0.3185,2,9,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16
35,47,70227,10,24,16,3.8,2,10715,13,Mobile,South,Silver,0,1071.5,669.69,10715,10.0,0,0.865502994567177,2.3978952727983707,9.2794932306645,330.0669,2.4000000000000004,36-50,High,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.17439919893190922,0.17644183773216032,0.17355643044619423,0.16906390002357935,0.174,0.5992,0.2046,0.3048,0.4241,0.25,2,10,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001
36,23,63940,7,38,1,2.9,3,11961,42,Mobile,West,Silver,0,1708.71,11961.0,11961,10.0,50,0.6270890852730561,2.0794415416798357,9.389490237604502,147.062,6.300000000000001,18-25,High,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,0.17439919893190922,0.17435897435897435,0.17355643044619423,0.17580340264650285,0.174,0.5992,0.195,0.3048,0.1587,0.25,6,3,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
37,40,20000,2,119,26,3.4,3,20008,56,Tablet,North,Bronze,0,10004.0,769.54,20008,10.0,0,0.536750332785653,1.0986122886681098,9.903937451316493,80.0,4.800000000000001,36-50,Low,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,0.16401590457256462,0.16658452439625432,0.17365878464276632,0.16906390002357935,0.17519623233908949,0.1006,0.2029,0.3933,0.4241,0.3185,1,1,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
38,18,104789,7,142,59,1.5,1,18835,25,Desktop,East,Silver,1,2690.71,319.24,0,10.0,30,0.7574651283969664,2.0794415416798357,9.843525211363445,188.6202,3.5,18-25,Very High,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,0.15856095936042638,0.17163048965169106,0.17355643044619423,0.17580340264650285,0.156,0.3002,0.1981,0.3048,0.1587,0.25,3,5,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387
39,22,20000,5,240,17,3.5,0,8028,18,Mobile,North,Silver,0,1605.6,472.24,8028,10.0,0,0.8187307530779818,1.791759469228055,8.990815266184685,44.0,0.0,18-25,Low,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,0.17439919893190922,0.16658452439625432,0.17355643044619423,0.17580340264650285,0.17519623233908949,0.5992,0.2029,0.3048,0.1587,0.3185,3,3,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17
40,40,79791,9,116,4,5.0,3,9083,36,Tablet,South,Silver,0,1009.22,2270.75,9083,10.0,20,0.6703200460356393,2.302585092994046,9.114269903225448,319.164,0.0,36-50,Very High,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,0.16401590457256462,0.17644183773216032,0.17355643044619423,0.16906390002357935,0.156,0.1006,0.2046,0.3048,0.4241,0.25,6,6,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0
41,46,30530,4,93,14,2.0,2,11265,11,Mobile,South,Silver,1,2816.25,804.64,0,10.0,30,0.8849516907190785,1.6094379124341003,9.329544619454659,140.438,6.0,36-50,Medium,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,0.17439919893190922,0.17644183773216032,0.17355643044619423,0.16906390002357935,0.1669421487603306,0.5992,0.2046,0.3048,0.4241,0.1815,5,8,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004
42,40,20000,7,87,1,3.5,6,4455,21,Desktop,North,Bronze,1,636.43,4455.0,0,10.0,45,0.7918895663367816,2.0794415416798357,8.40200678160712,80.0,9.0,36-50,Low,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,0.15856095936042638,0.16658452439625432,0.17365878464276632,0.16906390002357935,0.17519623233908949,0.3002,0.2029,0.3933,0.4241,0.3185,5,11,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384
43,36,20000,3,29,32,4.9,2,17232,3,Tablet,South,Gold,0,5744.0,538.5,17232,10.0,0,0.9672161004820059,1.3862943611198906,9.754581429281577,72.0,0.1999999999999993,36-50,Low,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,0.16401590457256462,0.17644183773216032,0.16173469387755102,0.16906390002357935,0.17519623233908949,0.1006,0.2046,0.196,0.4241,0.3185,6,4,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998
44,34,20000,7,12,26,2.5,4,17793,38,Mobile,Central,Bronze,0,2541.86,684.35,17793,5.4,55,0.6555883369077856,2.0794415416798357,9.786616600804713,68.0,10.0,26-35,Low,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,0.17439919893190922,0.15396188565697091,0.17365878464276632,0.16300036062026685,0.17519623233908949,0.5992,0.1994,0.3933,0.2773,0.3185,5,5,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387
45,20,54219,6,115,25,3.3,1,18119,5,Mobile,East,Bronze,0,3019.83,724.76,18119,10.0,0,0.9459594689067654,1.9459101490553132,9.80477157959697,108.438,1.7000000000000002,18-25,High,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,0.17439919893190922,0.17163048965169106,0.17365878464276632,0.17580340264650285,0.174,0.5992,0.1981,0.3933,0.1587,0.25,2,5,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387
46,29,39973,3,108,13,4.7,1,27801,30,Desktop,Central,Silver,0,9267.0,2138.54,27801,10.0,0,0.7165313105737893,1.3862943611198906,10.232863239537037,115.9217,0.2999999999999998,26-35,High,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,0.15856095936042638,0.15396188565697091,0.17355643044619423,0.16300036062026685,0.174,0.3002,0.1994,0.3048,0.2773,0.25,3,4,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998
47,32,20000,5,12,11,5.0,5,16146,57,Mobile,Central,Gold,0,3229.2,1467.82,16146,5.1,25,0.530819450562014,1.791759469228055,9.689489552881621,64.0,0.0,26-35,Low,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,0.17439919893190922,0.15396188565697091,0.16173469387755102,0.16300036062026685,0.17519623233908949,0.5992,0.1994,0.196,0.2773,0.3185,6,4,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998
48,50,20000,4,31,7,3.8,1,13572,3,Tablet,North,Bronze,0,3393.0,1938.86,13572,10.0,0,0.9672161004820059,1.6094379124341003,9.515837804297965,100.0,1.2000000000000002,36-50,Low,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,0.16401590457256462,0.16658452439625432,0.17365878464276632,0.16906390002357935,0.17519623233908949,0.1006,0.2029,0.3933,0.4241,0.3185,3,4,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998
49,42,20000,7,253,59,3.8,0,8253,59,Mobile,Central,Bronze,0,1179.0,139.88,8253,10.0,0,0.5191535638093583,2.0794415416798357,9.018453210312527,84.0,0.0,36-50,Low,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,0.17439919893190922,0.15396188565697091,0.17365878464276632,0.16906390002357935,0.17519623233908949,0.5992,0.1994,0.3933,0.4241,0.3185,0,4,0.0,1.0,0.8660254037844387,-0.4999999999999998
50,18,68083,6,18,11,2.3,4,44846,40,Desktop,Central,Gold,1,7474.33,4076.91,0,6.9,55,0.6411803884299546,1.9459101490553132,10.711011975617623,122.5494,10.8,18-25,High,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,0.15856095936042638,0.15396188565697091,0.16173469387755102,0.17580340264650285,0.174,0.3002,0.1994,0.196,0.1587,0.25,2,4,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998
51,41,62219,3,15,19,3.9,1,6959,16,Desktop,East,Silver,0,2319.67,366.26,6959,6.0,0,0.8371284313607636,1.3862943611198906,8.847934753328465,255.0979,1.1,36-50,High,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.15856095936042638,0.17163048965169106,0.17355643044619423,0.16906390002357935,0.174,0.3002,0.1981,0.3048,0.4241,0.25,4,5,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387
52,33,20000,3,20,14,3.2,2,19203,25,Mobile,East,Silver,0,6401.0,1371.64,19203,7.1,0,0.7574651283969664,1.3862943611198906,9.862873869650832,66.0,3.5999999999999996,26-35,Low,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,0.17439919893190922,0.17163048965169106,0.17355643044619423,0.16300036062026685,0.17519623233908949,0.5992,0.1981,0.3048,0.2773,0.3185,2,2,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001
